item_id,codename_id,page_id,lessons_completed,open_ended_item,closed_item,open_ended_item_tally
Entbindung,Entbindung,A1_Z_VOR_A1_L1_P1,0,0,1,0
Entbindung_Datum,Entbindung_Datum,A1_Z_VOR_A1_L1_P1,0,0,1,0
Entbindung_Krankenhaus,Entbindung_Krankenhaus,A1_Z_VOR_A1_L1_P1,0,0,1,0
Einsamkeit1_v1,Einsamkeit1_v1,A1_Z_VOR_A1_L1_P5,0,0,1,0
Einsamkeit2_v1,Einsamkeit2_v1,A1_Z_VOR_A1_L1_P5,0,0,1,0
VorstGeb,VorstGeb,A1_V_P1,0,1,0,1
VorstAnw,VorstAnw,A1_V_P1,0,1,0,2
VorstErkl,VorstErkl,A1_V_P3,0,1,0,3
VorstZeit,VorstZeit,A1_V_P4,0,1,0,4
VorstSchmerzen,VorstSchmerzen,A1_V_P5,0,1,0,5
VorstKaiser,VorstKaiser,A1_V_P6,0,1,0,6
WünInfo,WünInfo,A1_K_P1,0,1,0,7
WünKommAng,WünKommAng,A1_K_P2,0,1,0,8
WünKommSelbst,WünKommSelbst,A1_K_P3,0,1,0,9
SACCIASU_v1  ,SACCIASU_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIAAC1_v1,SACCIAAC1_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIACA_v1,SACCIACA_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIACO1_v1,SACCIACO1_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIACO2_v1,SACCIACO2_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIAIA1_v1,SACCIAIA1_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIAIA2_v1,SACCIAIA2_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
RiskPer_v1,RiskPer_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
OE_v1,OE_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
CSE_v1,CSE_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
Int_v1,Int_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
PL_v1,PL_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
Barr_v1,Barr_v1,A1_Z_VOR_A1_L1_P3,0,1,0,10
Ress_v1,Ress_v1,A1_Z_VOR_A1_L1_P4,0,1,0,11
VUEIC1_v1,VUEIC1_v1,A1_Z_VOR_A1_L1_P5,0,0,1,11
VUEIC2_v1,VUEIC2_v1,A1_Z_VOR_A1_L1_P5,0,0,1,11
L1Klarheit_t1,L1Klarheit,A1_L1_P1,0,1,0,12
L1Richtigkeit_t1,L1Suffizienz,A1_L1_P1,0,1,0,13
L1Suffizienz_t1,L1Richtigkeit,A1_L1_P1,0,1,0,14
L1Kontext_t1,L1Kontext,A1_L1_P1,0,1,0,15
L1IA_t1,L1IA,A1_L1_P1,0,1,0,16
L1SACCIA_Klar_t1,L1SACCIA_Klar,A1_L1_P4,0,0,1,16
L1SACCIA_Richt_t1,L1SACCIA_Richt,A1_L1_P5,0,0,1,16
L1SACCIA_Suff_t1,L1SACCIA_Suff,A1_L1_P6,0,0,1,16
L1SACCIA_IA_t1,L1SACCIA_IA,A1_L1_P7,0,0,1,16
L1AchtSACCIA_t1,L1AchtSACCIA,A1_L1_P8,0,0,1,16
L2HäufigkeitSit_t1,L2HäufigkeitSit,A1_L2_P5,1,0,1,16
L2Worum_t1,L2Worum,A1_L2_P8,1,1,0,17
L2Inhalt_t1,L2Inhalt,A1_L2_P8,1,1,0,18
L2Wie_t1,L2Wie,A1_L2_P8,1,1,0,19
L2Reaktion_t1,L2Reaktion,A1_L2_P8,1,1,0,20
L2_S_WasSchach_t1,L2_S_WasSchach,A1_L2_P9,1,1,0,21
L2_S_WieAus_t1,L2_S_WieAus,A1_L2_P9,1,1,0,22
L2_S_WieBesser_t1,L2_S_WieBesser,A1_L2_P9,1,1,0,23
L2_A_ApellKoll_t1,L2_A_ApellKoll,A1_L2_P10,1,1,0,24
L2_A_WieAusge1_t1,L2_A_WieAusge1,A1_L2_P10,1,1,0,25
L2_A_WieBesForm1_t1,L2_A_WieBesForm1,A1_L2_P10,1,1,0,26
L2_SK_WelBotüber1_t1,L2_SK_WelBotüber1,A1_L2_P11,1,1,0,27
L2_SK_WieAusge2_t1,L2_SK_WieAusge2,A1_L2_P11,1,1,0,28
L2_SK_WieBesForm2_t1,L2_SK_WieBesForm2,A1_L2_P11,1,1,0,29
L2_B_WelcheBeze_t1,L2_B_WelcheBeze,A1_L2_P12,1,1,0,30
L2_B_WieAuge3_t1,L2_B_WieAuge3,A1_L2_P12,1,1,0,31
L2_B_WieBesForm3_t1,L2_B_WieBesForm3,A1_L2_P12,1,1,0,32
L2UnterKom_t1,L2UnterKom,A1_L2_P13,1,1,0,33
L3Situation_t1,L3Situation,A1_L3_P2,2,0,1,33
L3Gründe_t1,L3Gründe,A1_L3_P4,2,1,0,34
L3VorstSitu_t1,L3VorstSitu,A1_L3_P5,2,1,0,35
L3Tipps_t1,L3Tipps,A1_L3_P8,2,0,1,35
L3WichtigTipp_t1,L3WichtigTipp,A1_L3_P9,2,1,0,36
L3CTG_t1,L3CTG,A1_L3_P10,2,0,1,36
L3Bedanken_t1,L3Bedanken,A1_L3_P11,2,1,0,37
SACCIASU_v2,SACCIASU_v2,A1_Z_VOR_A1_L4_P1,3,0,1,37
SACCIAAC_v2,SACCIAAC_v2,A1_Z_VOR_A1_L4_P1,3,0,1,37
SACCIACA_v2,SACCIACA_v2,A1_Z_VOR_A1_L4_P1,3,0,1,37
SACCIACO1_v2,SACCIACO1_v2,A1_Z_VOR_A1_L4_P1,3,0,1,37
SACCIACO2_v2,SACCIACO2_v2,A1_Z_VOR_A1_L4_P1,3,0,1,37
SACCIAIA1_v2,SACCIAIA1_v2,A1_Z_VOR_A1_L4_P1,3,0,1,37
SACCIAIA2_v2,SACCIAIA2_v2,A1_Z_VOR_A1_L4_P1,3,0,1,37
RiskPer_v2,RiskPer_v2,A1_Z_VOR_A1_L4_P2,3,0,1,37
OE_v2,OE_v2,A1_Z_VOR_A1_L4_P2,3,0,1,37
CSE_v2,CSE_v2,A1_Z_VOR_A1_L4_P2,3,0,1,37
Int_v2,Int_v2,A1_Z_VOR_A1_L4_P2,3,0,1,37
PL_v2,PL_v2,A1_Z_VOR_A1_L4_P2,3,0,1,37
L4FaktStress_t1,L4FaktStress,A1_L4_P1,3,0,1,37
L4FaktBesser_t1,L4FaktBesser,A1_L4_P3,3,0,1,37
L4Rückfrage1_t1,L4Rückfrage1,A1_L4_P7,3,0,1,37
L4Rückmeldung_t1,L4Rückmeldung,A1_L4_P8,3,0,1,37
L4Kreisschl_t1 ,L4Kreisschl,A1_L4_P9,3,0,1,37
L4SitBesch_t1,L4SitBesch,A1_L4_P10,3,1,0,38
L4Verbesserung_t1,L4Verbesserung,A1_L4_P10,3,1,0,39
L4Falsch_t1,L4Falsch,A1_L4_P11,3,1,0,40
L4Anfang_t1,L4Anfang,A1_L4_P12,3,1,0,41
L4Rückfragen_t1,L4Rückfragen,A1_L4_P12,3,1,0,42
L4Schließen_t1,L4Schließen,A1_L4_P12,3,1,0,43
L4EvalCL_t1 ,L4EvalCL,A1_L4_P13,3,1,0,44
L5Person_t1,L5Person,A1_L5_P1,4,1,0,45
L5Aussage1_t1,L5Aussage1,A1_L5_P2,4,1,0,46
L5Aussage2_t1,L5Aussage2,A1_L5_P2,4,1,0,47
L5Aussage3_t1,L5Aussage3,A1_L5_P2,4,1,0,48
L5Gefühl1_t1,L5Gefühl1,A1_L5_P3,4,1,0,49
L5Gefühl2_t1,L5Gefühl2,A1_L5_P3,4,1,0,50
L5Gefühl3_t1,L5Gefühl3,A1_L5_P3,4,1,0,51
L5Gedanke1_t1,L5Gedanke1,A1_L5_P4,4,1,0,52
L5Gedanke2_t1,L5Gedanke2,A1_L5_P4,4,1,0,53
L5Gedanke3_t1,L5Gedanke3,A1_L5_P4,4,1,0,54
L5Handlung1_t1,L5Handlung1,A1_L5_P5,4,1,0,55
L5Handlung2_t1,L5Handlung2,A1_L5_P5,4,1,0,56
L5Handlung3_t1,L5Handlung3,A1_L5_P5,4,1,0,57
L5Perspektive_t1,L5Perspektive,A1_L5_P6,4,1,0,58
L6Gelungen_t1,L6Gelungen,A1_L6_P1,5,1,0,59
L6Verbessern_t1,L6Verbessern,A1_L6_P1,5,1,0,60
L6IntroSitu_t1,L6IntroSitu,A1_L6_P3,5,0,1,60
L6Umsetzung_t1,L6Umsetzung,A1_L6_P4,5,1,0,61
SACCIASU_v3,SACCIASU_v3,A1_Z_VOR_A1_L7_P1,6,0,1,61
SACCIAAC_v3,SACCIAAC_v3,A1_Z_VOR_A1_L7_P1,6,0,1,61
SACCIACA_v3,SACCIACA_v3,A1_Z_VOR_A1_L7_P1,6,0,1,61
SACCIACO1_v3,SACCIACO1_v3,A1_Z_VOR_A1_L7_P1,6,0,1,61
SACCIACO2_v3,SACCIACO2_v3,A1_Z_VOR_A1_L7_P1,6,0,1,61
SACCIAIA1_v3,SACCIAIA1_v3,A1_Z_VOR_A1_L7_P1,6,0,1,61
SACCIAIA2_v3,SACCIAIA2_v3,A1_Z_VOR_A1_L7_P1,6,0,1,61
RiskPer_v3,RiskPer_v3,A1_Z_VOR_A1_L7_P2,6,0,1,61
OE_v3,OE_v3,A1_Z_VOR_A1_L7_P2,6,0,1,61
CSE_v3,CSE_v3,A1_Z_VOR_A1_L7_P2,6,0,1,61
Int_v3,Int_v3,A1_Z_VOR_A1_L7_P2,6,0,1,61
PL_v3,PL_v3,A1_Z_VOR_A1_L7_P2,6,0,1,61
L7Vorbereitung_t1,L7Vorbereitung,A1_L7_P4,6,1,0,62
L7Gelungen_t1,L7Gelungen,A1_L7_P4,6,1,0,63
L7Verbesserung_t1,L7Verbesserung,A1_L7_P4,6,1,0,64
L7Vorbereitung2_t1,L7Vorbereitung2,A1_L7_P6,6,0,1,64
L8FaktStress_t1,L8FaktStress,A1_L8_P1,7,0,1,64
L8SitBesch_t1,L8SitBesch,A1_L8_P4,7,1,0,65
L8Monitoring_t1,L8Monitoring,A1_L8_P5,7,1,0,66
L8Management_t1,L8Management,A1_L8_P5,7,1,0,67
L8Ressourcen_t1,L8Ressourcen,A1_L8_P5,7,1,0,68
L8Entspannen_t1,L8Entspannen,A1_L8_P5,7,1,0,69
L8Strategie_t1,L8Strategie,A1_L8_P6,7,1,0,70
L9SitSchwierig_t1,L9SitSchwierig,A1_L9_P2,8,1,0,71
L9Ideen_t1,L9Ideen,A1_L9_P3,8,1,0,72
L9Ichwill_t1,L9Ichwill,A1_L9_PLAENE,8,1,0,73
L9WoWann_t1,L9WoWann,A1_L9_PLAENE,8,1,0,74
L9WieGenau_t1,L9WieGenau,A1_L9_PLAENE,8,1,0,75
L9WasWenn_t1,L9WasWenn,A1_L9_PLAENE,8,1,0,76
L9WasMachen_t1,L9WasMachen,A1_L9_PLAENE,8,1,0,77
L9Passend_t1,L9Passend,A1_L9_BEWERTEN,8,0,1,77
L9Effektiv_t1,L9Effektiv,A1_L9_BEWERTEN,8,0,1,77
L9Praktisch_t1,L9Praktisch,A1_L9_BEWERTEN,8,0,1,77
L9Präzise_t1,L9Präzise,A1_L9_BEWERTEN,8,0,1,77
L9Zufrieden_t1,L9Zufrieden,A1_L9_ZUFRIEDENHEIT,8,0,1,77
SACCIASU_v4,SACCIASU_v4,A1_Z_VOR_A1_L10_P1,9,1,0,78
SACCIAAC1_v4,SACCIAAC1_v4,A1_Z_VOR_A1_L10_P1,9,1,0,79
SACCIACA_v4,SACCIACA_v4,A1_Z_VOR_A1_L10_P1,9,1,0,80
SACCIACO1_v4,SACCIACO1_v4,A1_Z_VOR_A1_L10_P1,9,1,0,81
SACCIACO2_v4,SACCIACO2_v4,A1_Z_VOR_A1_L10_P1,9,1,0,82
SACCIAIA1_v4,SACCIAIA1_v4,A1_Z_VOR_A1_L10_P1,9,1,0,83
SACCIAIA2_v4,SACCIAIA2_v4,A1_Z_VOR_A1_L10_P1,9,1,0,84
RiskPer_v4,RiskPer_v4,A1_Z_VOR_A1_L10_P2,9,1,0,85
OE_v4,OE_v4,A1_Z_VOR_A1_L10_P2,9,1,0,86
CSE_v4,CSE_v4,A1_Z_VOR_A1_L10_P2,9,1,0,87
Int_v4,Int_v4,A1_Z_VOR_A1_L10_P2,9,1,0,88
PL_v4,PL_v4,A1_Z_VOR_A1_L10_P2,9,1,0,89
Barr_v4,Barr_v4,A1_Z_VOR_A1_L10_P3,9,0,1,89
Ress_v4,Ress_v4,A1_Z_VOR_A1_L10_P4,9,0,1,89
VUEIC1_v2,VUEIC1_v2,A1_Z_VOR_A1_L10_P5,9,1,0,90
VUEIC2_v2,VUEIC2_v2,A1_Z_VOR_A1_L10_P5,9,1,0,91
L10EinschSACCIA_t1,L10EinschSACCIA,A1_L10_P1,9,0,1,91
L10EinschModel_t1,L10EinschModel,A1_L10_P1,9,0,1,91
L10Stressmanagement_t1,L10Stressmanagement,A1_L10_P1,9,0,1,91
L10EinschSpeakUp_t1,L10EinschSpeakUp,A1_L10_P1,9,0,1,91
L10EinschClosed_t1,L10EinschClosed,A1_L10_P1,9,0,1,91
L10EinschEmpathy_t1,L10EinschEmpathy,A1_L10_P1,9,0,1,91
L10EinschISBAR_t1,L10EinschISBAR,A1_L10_P1,9,0,1,91
L10Vorbereitung_t1,L10Vorbereitung,A1_L10_P1,9,0,1,91
L10EinschPlanung_t1,L10EinschPlanung,A1_L10_P1,9,0,1,91
L10Rep1_t1,L10Rep1,A1_L10_P2,9,0,1,91
L10Rep2_t1,L10Rep2,A1_L10_P3,9,0,1,91
L10Rep3_t1,L10Rep3,A1_L10_P4,9,0,1,91
L10Rep4_t1,L10Rep4,A1_L10_P5,9,0,1,91
L10Rep5_t1,L10Rep5,A1_L10_P6,9,0,1,91
L10Rep6_t1,L10Rep6,A1_L10_P7,9,0,1,91
VUEHC_vu_1,VUEHC_vu_1,A1_L10_P8,9,0,1,91
VUEDT_vu_1,VUEDT_vu_1,A1_L10_P8,9,0,1,91
VUETC_vu_t1,VUETC_vu_t1,A1_L10_P8,9,0,1,91
VUEKP_vu_1,VUEKP_vu_1,A1_L10_P8,9,0,1,91
L10Nuterfreundlichkeit_t1,L10Nuterfreundlichkeit,A1_L10_P10,9,0,1,91
L10Inhalt_t1,L10Inhalt,A1_L10_P10,9,0,1,91
L10Nutzen_t1,L10Nutzen,A1_L10_P10,9,0,1,91
L10Gelernt_t1,L10Gelernt,A1_L10_P11,9,0,1,91
Com_Post_Geburt_t1,Com_Post_Geburt,A1_L11_P1,10,0,1,91
Beurt_Geburt_t1,Beurt_Geburt,A1_L11_P1,10,0,1,91
Bew_Training_t1,Bew_Training,A1_L11_P1,10,0,1,91
SACCIASU_ 11_t1,SACCIASU_ 11,A1_L11_P2,10,0,1,91
SACCIAAC1_11_t1,SACCIAAC1_11,A1_L11_P2,10,0,1,91
SACCIACA_11_t1,SACCIACA_11,A1_L11_P2,10,0,1,91
SACCIACO1_11_t1,SACCIACO1_11,A1_L11_P2,10,0,1,91
SACCIACO2_11_t1,SACCIACO2_11,A1_L11_P2,10,0,1,91
SACCIAIA1_11_t1,SACCIAIA1_11,A1_L11_P2,10,0,1,91
SACCIAIA2_11_t1,SACCIAIA2_11,A1_L11_P2,10,0,1,91
VUEIC1_v_3  _t1,VUEIC1_v_3,A1_L11_P3,10,0,1,91
VUEIC2_v_3  _t1,VUEIC2_v_3,A1_L11_P3,10,0,1,91
VUEHC_vu_2_t1,VUEHC_vu_2,A1_L11_P3,10,0,1,91
VUEDT_vu_2_t1,VUEDT_vu_2,A1_L11_P3,10,0,1,91
VUETC_vu_2_t1,VUETC_vu_2,A1_L11_P3,10,0,1,91
VUEKP_vu_2_t1,VUEKP_vu_2,A1_L11_P3,10,0,1,91
PHQ1_t1,PHQ1,A1_L11_P4,10,0,1,91
PHQ2_t1,PHQ2,A1_L11_P4,10,0,1,91
PHQ3_t1,PHQ4,A1_L11_P4,10,0,1,91
PHQ4_t1,PHQ3,A1_L11_P4,10,0,1,91
SACCIASU_r,SACCIASU_r,ratings_1,10,0,1,91
SACCIAAC1_r,SACCIAAC1_r,ratings_1,10,0,1,91
SACCIACA_r,SACCIACA_r,ratings_1,10,0,1,91
SACCIACO1_r,SACCIACO1_r,ratings_1,10,0,1,91
SACCIACO2_r,SACCIACO2_r,ratings_1,10,0,1,91
SACCIAIA1_r,SACCIAIA1_r,ratings_1,10,0,1,91
SACCIAIA2_r,SACCIAIA2_r,ratings_1,10,0,1,91
